frame,x,y,radius
80,66.56,86.48,14.0
80,336.32,315.04,16.0
80,318.2,385.0,15.0
80,318.98,143.1,14.5
80,375.48,128.66,16.0
81,115.18,201.76,17.180000000000007
81,64.04,86.72,14.000000000000004
81,336.32,315.8,16.0
81,317.44,385.0,15.0
81,318.98,142.58,14.5
81,375.24,129.18,16.0
82,118.24000000000001,201.0,19.479999999999997
82,64.04,83.44,14.000000000000004
82,331.0,311.0,16.0
82,317.68,383.48,15.0
82,318.74,144.1,14.5
82,376.48,128.66,16.0
83,116.72,201.0,15.640000000000008
83,66.32,83.2,13.999999999999996
83,336.32,315.8,16.0
83,319.2,382.72,15.0
83,318.98,144.1,14.5
83,372.68,130.18,16.0
84,119.74000000000001,201.0,18.699999999999996
84,64.52,82.72,13.999999999999996
84,337.08,315.8,16.0
84,319.96,384.24,15.0
84,316.7,144.34,14.5
84,374.96,129.42,16.0
85,117.1,198.72,19.099999999999994
85,65.04,84.24,14.000000000000004
85,336.08,315.04,16.0
85,322.0,385.0,15.0
85,320.26,147.14,14.5
85,374.2,129.66,16.0
86,117.47,199.2,17.949999999999996
86,66.32,83.2,13.999999999999996
86,335.56,315.8,16.0
86,318.72,382.72,15.0
86,319.5,146.38,14.5
86,374.96,130.42,16.0
87,116.3,201.0,18.299999999999997
87,63.519999999999996,81.96,13.999999999999996
87,336.32,315.8,16.0
87,323.0,385.0,15.0
87,317.46,147.9,14.5
87,373.44,129.66,16.0
88,118.1,201.51,16.819999999999993
88,65.56,84.48,14.0
88,336.32,314.8,16.0
88,317.68,384.24,15.0
88,318.24,147.16,16.74000000000001
88,374.2,131.18,16.0
89,117.45,201.4,19.450000000000003
89,64.04,82.72,14.000000000000004
89,334.4,314.3,19.400000000000006
89,317.29999999999995,385.52,16.900000000000006
89,318.0,148.64,16.0
89,374.96,131.18,16.0
90,119.96000000000001,199.57,20.199999999999996
90,63.9,81.22,15.899999999999999
90,337.84,315.8,16.0
90,319.35,383.25,17.650000000000006
90,317.22,148.29,16.78
90,373.44,131.18,16.0
91,118.45,200.86,19.450000000000003
91,64.67,81.94,15.149999999999995
91,337.86,316.15999999999997,18.30000000000001
91,319.18,382.7,19.579999999999984
91,318.36,149.39999999999998,17.159999999999997
91,372.68,131.18,16.0
92,119.57,200.34,19.050000000000004
92,63.66,81.2,15.139999999999997
92,336.3,315.05,17.5
92,318.22,383.61,16.5
92,318.0,150.2,16.80000000000001
92,372.44,130.18,16.0
93,118.85,200.74,16.050000000000004
93,65.44,79.46,14.400000000000002
93,337.84,315.8,16.0
93,318.44,384.24,15.0
93,317.98,148.66,14.5
93,373.44,130.94,16.0
94,118.83,199.57999999999998,17.549999999999997
94,64.29,80.33,17.05
94,336.70000000000005,316.95000000000005,17.900000000000006
94,318.06,384.6,16.899999999999977
94,317.98,149.43,16.78
94,371.92,133.22,16.0
95,119.55,201.7,15.950000000000003
95,66.3,79.31,15.329999999999998
95,336.26,316.94,16.0
95,317.09,383.69,15.0
